job_title,company,job_location,job_summary,job_salary,post_date,today,job_url
Data Analyst - Mobile QV,Electronic Arts,"Vancouver, BC","Validate datasets through the use of scripting language to identify data quality issues and data anomaly.
Analyze and identify potential sources of the data…",,Posted30+ days ago,2022-07-01,https://ca.indeed.com/rc/clk?jk=ad65a9dc77116b01&fccid=617d7f961cfcf54a&vjs=3
Data & Analytics - Senior Data Analyst,Aritzia,"Vancouver, BC",The mission of the Analytics Department is to provide the business with actionable and accurate information to enable data-driven decision-making.,,Posted30+ days ago,2022-07-01,https://ca.indeed.com/rc/clk?jk=26c78718fccadd77&fccid=230bf53df7c46c1a&vjs=3
DATA ANALYST,HKJ Marketing,"Richmond, BC","Perform large data set analysis that can generate actionable findings.
Excellent SQL skills; extensive experience querying large and complex data sets.",,Posted30+ days ago,2022-07-01,https://ca.indeed.com/rc/clk?jk=2eb9d8f594a1e7f9&fccid=e58d29b5855f6e22&vjs=3
"Business Operations Analyst I, AWS Commerce Platform Busines...",Amazon Dev Centre Canada ULC,"Vancouver, BC","At least 1+ years of experience with data warehousing and reporting.
The ops analyst will support customer inquiries and contribute toward immediate resolution…",,Posted30+ days ago,2022-07-01,https://ca.indeed.com/rc/clk?jk=6dc88c11efa9859a&fccid=fe2d21eef233e94a&vjs=3
DATA ANALYST,HKJ Marketing,"Richmond, BC","Perform large data set analysis that can generate actionable findings.
Excellent SQL skills; extensive experience querying large and complex data sets.",,Posted30+ days ago,2022-07-01,https://ca.indeed.com/rc/clk?jk=2eb9d8f594a1e7f9&fccid=e58d29b5855f6e22&vjs=3
"Business Operations Analyst I, AWS Commerce Platform Busines...",Amazon Dev Centre Canada ULC,"Vancouver, BC","At least 1+ years of experience with data warehousing and reporting.
The ops analyst will support customer inquiries and contribute toward immediate resolution…",Full-time,Posted30+ days ago,2022-07-01,https://ca.indeed.com/rc/clk?jk=6dc88c11efa9859a&fccid=fe2d21eef233e94a&vjs=3
Business Analyst II,Metro Vancouver,"Burnaby, BC","Assists a superior in workload planning, project scheduling and the development of corporate information technology plans including operational standards;…","$7,053–$8,351 a month",Posted3 days ago,2022-07-01,https://ca.indeed.com/rc/clk?jk=6216e4073ff3b64d&fccid=f2087428405571c4&vjs=3
Research Analyst,Destination Vancouver,"Vancouver, BC","The ideal candidate has relevant experience and expertise in a similar market research, data analytics and business insights role and understands market…",Full-time,Posted24 days ago,2022-07-01,https://ca.indeed.com/rc/clk?jk=25084a1be9124eb5&fccid=515cb0949c3e8d54&vjs=3
Business Analyst,Critical Mass,"Remote in Vancouver, BC","Use data and process modelling tools.
Use data and process modelling techniques to identify and clarify requirements.
Gather, clarify and validate requirements.",,Posted29 days ago,2022-07-01,https://ca.indeed.com/rc/clk?jk=479b6294d22e218a&fccid=4c1cecd72be0fe72&vjs=3
Data Analyst,Dorigo Systems,"Burnaby, BC","Interpret data sets using statistical tools and observe patterns or trends, cleansing the data to improve clarity.
Job Type: Full-time, Permanent, On-site.",Full-time,Posted30+ days ago,2022-07-01,https://ca.indeed.com/rc/clk?jk=72bd8e4d0aa74387&fccid=675c46b0ec9ae195&vjs=3
